feature,importance,abs_importance
recency_days,-4.897715391973248,4.897715391973248
recent_error_rate,-1.27364526376675,1.27364526376675
prev_error_rate,-1.27364526376675,1.27364526376675
tenure_days,0.8122373885922208,0.8122373885922208
prev_avg_ticket,-0.7832642005236559,0.7832642005236559
recent_avg_ticket,-0.7774687960327195,0.7774687960327195
prev_chip_rate,-0.7273089771959216,0.7273089771959216
recent_chip_rate,-0.7229695366342404,0.7229695366342404
recent_txn_count,-0.6789724970970862,0.6789724970970862
prev_txn_count,-0.6748765770274747,0.6748765770274747
prev_spend_sum,-0.4307017149292813,0.4307017149292813
recent_spend_sum,-0.4290978904227862,0.4290978904227862
